AGENCY_NAME;NIGP_DESCRIPTION;PO_TOTAL_AMOUNT;ORDER_DATE;SUPPLIER;SUPPLIER_CITY;SUPPLIER_STATE
DEPARTMENT OF HEALTH;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$87500.00;3/8/11;DC VOICE;WASHINGTON  ;DC
DEPARTMENT OF HEALTH;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$87500.00;3/8/11;DC VOICE;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;CORRUGATED BOXES AND SHEETS (INCLUDING FILLERS) 25;$4500.00;3/8/11;ULINE, INC.;WAUKEGAN  ;IL
DEPARTMENT OF HEALTH;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$87500.00;3/8/11;UNITED MEDICAL CENTER FOUNDATI;WASHINGTON  ;DC
DEPARTMENT OF MENTAL HEALTH;EDUCATION AND TRAINING CONSULTING 38;$2886.96;3/8/11;MYRON MFG CORPORATION;MAYWOOD  ;NJ
DEPT. OF HOUSING AND COMM. DEVELOPMENT;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$188000.00;3/8/11;DEVELOPMENT CORP OF COLUMBIA;WASHINGTON  ;DC
DEPARTMENT OF HEALTH;HEALTH CARE SERVICES (NOT OTHERWISE CLASSIFIED) 48;$76350.00;3/8/11;TRANSGENDER HEALTH EMPOWERMENT;WASHINGTON  ;DC
DEPARTMENT OF TRANSPORTATION;EDUCATION AND TRAINING CONSULTING 38;$6700.00;3/8/11;KS GOINS & ASSOCIATES;PLAINFIELD  ;IL
OFFICE OF THE D.C. AUDITOR;ACCOUNTING/FINANCIAL: BOOKKEEPING, BILLING AND INVOICING, BUDGETING, PAYROLL, TAXES, ETC. 10;$4032.00;3/8/11;LEXISNEXIS JUSTICELINK EFILE S;BELLEVUE  ;WA
DEPARTMENT OF TRANSPORTATION;CAR SEATS FOR INFANTS 13;$6956.00;3/8/11;EVENFLO;MIAMISBURG  ;OH
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;BOOKS, ALL TYPES (LIBRARY, SCHOOL, ETC.) 18;$4999.96;3/8/11;BARNES & NOBLE BOOKSELLERS INC;NEW YORK  ;NY
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;EDUCATION AND TRAINING CONSULTING 38;$9500.00;3/8/11;AMERICAN READING COMPANY;KING OF PRUSSIA  ;PA
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;GYMNASIUM MATS, COVERS, HANGERS, AND TRUCKS 60;$4880.52;3/8/11;UNIFIRST CORPORATION;LANDOVER  ;MD
OFF PUBLIC ED FACILITIES MODERNIZATION;BUILDING CONSTRUCTION, NON-RESIDENTIAL (OFFICE BLDG., ETC.) 22;$24628.00;3/8/11;TURNER CONSTRUCTION COMPANY;ARLINGTON  ;VA
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;FURNITURE 46;$38500.00;3/8/11;AMERICAN EXPRESS COMPANY;WESTON  ;FL
OFF PUBLIC ED FACILITIES MODERNIZATION;CONSTRUCTION MANAGEMENT SERVICES 26;$462399.00;3/9/11;VISION SECURITY SOLUTION;WASHINGTON   ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;;$4955.83;3/9/11;AMERICAN EXPRESS COMPANY;WESTON  ;FL
DEPARTMENT ON DISABILITY SERVICES;TRANSITIONAL LIVING 92;$359191.90;3/9/11;PRESIDENT & DIRECTORS OF GEORGETOWN COLLEGE FOR GEORGETOWN UNIVERSITY;WASHINGTON  ;DC
DEPARTMENT OF HUMAN SERVICES;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$26991.38;3/9/11;DATA BUILDERS, INC.;TEMECULA  ;CA
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;COMPUTERS, PARTS AND SUPPLIES 29;$4830.00;3/9/11;APPLE COMPUTER INC;CUPERTINO  ;CA
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;MICROCOMPUTERS, HANDHELD, LAPTOP, AND NOTEBOOK 54;$2585.90;3/9/11;APPLE COMPUTER INC;CUPERTINO  ;CA
CHILD AND FAMILY SERVICES;SUPPORT SERVICES 85;$1190789.32;3/9/11;EAST RIVER FAMILY STREGTHENING;WASHINGTON  ;DC
EQUIPMENT LEASE - CAPITAL;COMPUTER SOFTWARE CONSULTING 29;$144072.04;3/9/11;OST, INC.;WASHINGTON  ;DC
OFFICE OF CHIEF TECHNOLOGY OFFICER;COMPUTER SOFTWARE CONSULTING 29;$50397.60;3/9/11;OST, INC.;WASHINGTON  ;DC
OFFICE OF CHIEF TECHNOLOGY OFFICER;COMPUTER NETWORK CONSULTING 30;$37742.40;3/9/11;OST, INC.;WASHINGTON  ;DC
COMMISSION ON ARTS & HUMANITIES;ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07;$37500.00;3/9/11;THE KENNEDY CENTER;WASHINGTON  ;DC
COMMISSION ON ARTS & HUMANITIES;ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07;$12750.00;3/9/11;WASHINGTON DRAMA SOCIETY;WASHINGTON  ;DC
OFFICE ON AGING;ELDERLY ASSISTANCE SERVICES 40;$100000.00;3/9/11;HOWARD UNIVERSITY THE LEARNING ACADEMY;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;BELTS AND SUSPENDERS 25;$4060.00;3/9/11;MARLOW SPORTS, INC.;FORESTVILLE  ;MD
COMMISSION ON ARTS & HUMANITIES;ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07;$11250.00;3/9/11;TURNING THE PAGE;WASHINGTON  ;DC
DEPT. OF HOUSING AND COMM. DEVELOPMENT;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$1500000.00;3/9/11;DC HOUSING AUTHORITY;WASHINGTON  ;DC
COMMISSION ON ARTS & HUMANITIES;ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07;$37500.00;3/9/11;THE WASHINGTON BALLET;WASHINGTON  ;DC
OFFICE ON AGING;ELDERLY ASSISTANCE SERVICES 40;$270309.00;3/9/11;PROVIDENCE HEALTH FOUNDATION;WASHINGTON  ;DC
COMMISSION ON ARTS & HUMANITIES;ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07;$15000.00;3/9/11;CITY ARTS;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;BELTS AND SUSPENDERS 25;$2878.33;3/9/11;DIXIE SPORTING GOODS CO., INC.;RICHMOND  ;VA
STATE SUPERINTENDENT OF EDUCATION (OSSE);PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$58793.83;3/9/11;ETHIOPIAN COMMUNITY CENTER INC;WASHINGTON  ;DC
COMMISSION ON ARTS & HUMANITIES;ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07;$11250.00;3/9/11;YOUNG PLAYWRIGHTS THEATRE;WASHINGTON  ;DC
COMMISSION ON ARTS & HUMANITIES;ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07;$11250.00;3/9/11;YOUNG PLAYWRIGHTS THEATRE;WASHINGTON  ;DC
COMMISSION ON ARTS & HUMANITIES;ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07;$9000.00;3/9/11;YOUNG PLAYWRIGHTS THEATRE;WASHINGTON  ;DC
CHILD AND FAMILY SERVICES;EDUCATION AND TRAINING CONSULTING 38;$12900.00;3/9/11;MARSHA SALUS;BOYDS  ;MD
DEPARTMENT OF PUBLIC WORKS;MICROCOMPUTERS, HANDHELD, LAPTOP, AND NOTEBOOK 54;$481538.54;3/9/11;EZTAG CORP;PLATTSBURGH  ;NY
OFF PUBLIC ED FACILITIES MODERNIZATION;CONSTRUCTION MANAGEMENT SERVICES 26;$240990.00;3/9/11;HESS CONSTRUCTION CO. INC.;GAITHERSBURG  ;MD
COMMISSION ON ARTS & HUMANITIES;ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07;$11250.00;3/9/11;THELONIOUS MONK INSTITUTE;WASHINGTON  ;DC
COMMISSION ON ARTS & HUMANITIES;ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07;$17100.00;3/9/11;KANKOURAN WEST AFRICAN DANCE C;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;CAMERAS, DIGITAL, FOR WINDOWS (INCLUDING LIQUID CRYSTAL DISPLAY) 14;$7607.80;3/9/11;MVS, INC.;WASHINGTON  ;DC
DEPARTMENT OF EMPLOYMENT SERVICES;HUMAN SERVICES (NOT OTHERWISE CLASSIFIED) 59;$4000.00;3/9/11;TECHNICAL LEARNING CENTER;WASHINGTON  ;DC
CHILD AND FAMILY SERVICES;SUPPORT SERVICES 85;$1716216.68;3/9/11;FAR SOUTHEAST FAMILY;WASHINGTON  ;DC
DC PUBLIC LIBRARY;CARPENTRY 27;$358240.63;3/9/11;EAGLE CONSTRUCTION & BUILDING;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;BUS TRANSPORTATION SERVICES, SCHOOL 16;$6284.00;3/9/11;MAINOR'S BUS SERVICE;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;BUSES, TRANSIT AND SCHOOL 20;$4200.00;3/9/11;MARGIE MONROE DBA/3-L BUS;WASHINGTON  ;DC
DEPARTMENT OF TRANSPORTATION;PAVING/RESURFACING, HIGHWAY AND ROAD 95;$148800.00;3/9/11;PATCH MANAGEMENT INC.;FAIRLESS HILLS  ;PA
METROPOLITAN POLICE DEPARTMENT;GENERAL CONSTRUCTION: MANAGEMENT, SCHEDULING, COST ESTIMATION - ENGINEERING 44;$57180.00;3/9/11;ARJ GROUP INC;WASHINGTON  ;DC
DEPARTMENT OF EMPLOYMENT SERVICES;HUMAN SERVICES (NOT OTHERWISE CLASSIFIED) 59;$3396.50;3/9/11;SO OTHERS MIGHT EAT;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;INSTRUCTIONAL AIDS: COURSES, LESSON PLANS (PREPARED), PROGRAMS, ANCILLARY MATERIALS, VIDEOS, ETC. (SEE CLASS 715 FOR TEXTBOOKS) 70;$4255.20;3/9/11;SCHOOL SPECIALTY;GREENVILLE  ;WI
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;BUMPER STICKERS, ETC.: PRINTED 05;$2942.00;3/9/11;TOUCAN PRINTING & PROMO PROD;WASHINGTON  ;DC
DEPARTMENT OF MOTOR VEHICLES;DRIVER'S LICENSE SERVICES 32;$4935.00;3/9/11;SUPRETECH, INC.;WASHINGTON  ;DC
DEPT. OF HOUSING AND COMM. DEVELOPMENT;STORAGE SPACE RENTAL 70;$2927.06;3/9/11;IRON MOUNTAIN;COLLEGEVILLE  ;PA
COMMISSION ON ARTS & HUMANITIES;ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07;$11250.00;3/9/11;FESTIVALS DC., LTD;WASHINGTON  ;DC
COMMISSION ON ARTS & HUMANITIES;ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07;$37200.00;3/9/11;WILFREDO VALLADARES LARA;WASHINGTON  ;DC
HOMELAND SECURITY/EMERGENCY MANAGEMENT;COMMUNICATIONS: NETWORKING, LINKING, ETC. 28;$188624.84;3/9/11;DIEBOLD INFORMATION & SECURITY;BOUNTIFUL  ;UT
STATE SUPERINTENDENT OF EDUCATION (OSSE);PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$50000.00;3/9/11;APPLETREE EARLY LEARNING PCS;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;LETTERS AND NUMERALS, SIGN (TO INCLUDE LOGOS) 20;$6335.52;3/9/11;AMERICAN EXPRESS COMPANY;WESTON  ;FL
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;COMPUTERS, PARTS AND SUPPLIES 29;$2916.00;3/9/11;DELL COMPUTER CORP.;ROUND ROCK  ;TX
DISABILITY COMPENSATION FUND;PHARMACEUTICAL SERVICES 72;$99000.00;3/10/11;SCRIPNET, INC.;LAS VEGAS  ;NV
DEPARTMENT OF MENTAL HEALTH;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$71300.00;3/10/11;CRAIG S. KING;CHESTERFIELD  ;VA
OFFICE OF UNIFIED COMMUNICATIONS;SOFTWARE MAINTENANCE/SUPPORT 45;$12750.00;3/10/11;OPTIMI CORPORATION;ATLANTA  ;GA
OFFICE OF THE CHIEF MEDICAL EXAMINER;COOLERS, DRINKING WATER, MAINTENANCE AND REPAIR 24;$4000.00;3/10/11;NESTLE WATERS AMERICA INC.;LOUISVILLE   ;KY
DISTRICT DEPARTMENT OF THE ENVIRONMENT;ADVISORY SERVICES, EDUCATIONAL 05;$50000.00;3/10/11;GREEN DMV INC.;SPRINGFIELD  ;VA
DEPARTMENT OF HEALTH;TEST KITS AND SUPPLIES, CHEMISTRY (NOT OTHERWISE CLASSIFIED) 89;$6359.70;3/10/11;QIAGEN INC;SANTA CLARITA  ;CA
DEPARTMENT OF EMPLOYMENT SERVICES;EDUCATION AND TRAINING CONSULTING 38;$7127.28;3/10/11;PLUMBERS & PIPEFITTERS APPRENT;LANDOVER  ;MD
DEPARTMENT OF TRANSPORTATION;PAVING/RESURFACING, STREET (MAJOR AND RESIDENTIAL) 96;$104295.70;3/10/11;FORT MYER CONSTRUCTION CORPORA;WASHINGTON  ;DC
DISTRICT DEPARTMENT OF THE ENVIRONMENT;GROUNDS MAINTENANCE: MOWING, EDGING, PLANT (NOT TREE) TRIMMING, ETC. 36;$110000.00;3/10/11;GOLD LEAF GROUP;BROOKEVILLE  ;MD
DISTRICT DEPARTMENT OF THE ENVIRONMENT;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$117800.00;3/10/11;THE ALLIANCE TO SAVER ENERGY;WASHINGTON  ;DC
DEPARTMENT OF HEALTH;HEALTH CARE SERVICES (NOT OTHERWISE CLASSIFIED) 48;$286698.00;3/10/11;COMMUNITY CONNECTIONS;WASHINGTON  ;DC
DEPUTY MAYOR FOR ECONOMIC DEVELOPMENT;ARCHITECTURAL AND ENGINEERING SERVICES, NON-PROFESSIONAL 00;$19342.18;3/10/11;RTKL D.C. ASSOCIATES, P.C.;WASHINGTON  ;DC
OFF PUBLIC ED FACILITIES MODERNIZATION;CONSTRUCTION MANAGEMENT SERVICES 26;$154845.00;3/10/11;HESS CONSTRUCTION CO. INC.;GAITHERSBURG  ;MD
OFFICE OF CHIEF TECHNOLOGY OFFICER;SOFTWARE MAINTENANCE/SUPPORT 45;$5760.00;3/10/11;TABLEAU SOFTWARE, INC.;SEATTLE  ;WA
DEPARTMENT OF HEALTH;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$87500.00;3/10/11;THE MAUTNER PROJECT;WASHINGTON  ;DC
DEPARTMENT OF HEALTH;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$18000000.00;3/10/11;DC PRIMARY CARE ASSOCIATION;WASHINGTON  ;DC
DEPUTY MAYOR FOR ECONOMIC DEVELOPMENT;MAPS, ENGINEER AND TOPOGRAPHICAL 59;$10910.75;3/10/11;KCI TECHNOLOGIES INC.;SPARKS  ;MD
DEPARTMENT OF HEALTH;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$114675.00;3/10/11;MEDSTAR DIABETES/WA HSP. FDTN.;WASHINGTON  ;DC
DEPARTMENT OF HEALTH;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$85000.00;3/10/11;WASHINGTON HOSPITAL CENTER;ARLINGTON  ;VA
DEPARTMENT OF HEALTH;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$4271000.00;3/10/11;WASHINGTON HOSPITAL CENTER;ARLINGTON  ;VA
DEPARTMENT OF HEALTH;LABORATORY EQUIPMENT AND ACCESSORIES, MAINTENANCE AND REPAIR: FOR GENERAL AND ANALYTICAL RESEARCH USE, NUCLEAR, OPTICAL, PHYSICAL 62;$33540.39;3/10/11;ORTHO CLINICAL DIAGNOSTICS;ROCHESTER  ;NY
DEPARTMENT ON DISABILITY SERVICES;MEDICAL AND LABORATORY SERVICES (NON-PHYSICIAN) 55;$80904.00;3/10/11;LIBERTY HEALTHCARE CORP.;BALA CYNWYD  ;PA
DEPARTMENT ON DISABILITY SERVICES;MEDICAL AND LABORATORY SERVICES (NON-PHYSICIAN) 55;$32205.90;3/10/11;LIBERTY HEALTHCARE CORP.;BALA CYNWYD  ;PA
MUNICIPAL FACILITIES: NON-CAPITAL;CONSTRUCTION, SIDEWALK AND DRIVEWAY (INCLUDES PEDESTRIAN AND HANDICAP RAMPS) 47;$32500.00;3/10/11;CONSPEC CONTRACTING, LLC;WASHINGTON  ;DC
D.C. DEPARTMENT OF HUMAN RESOURCES;COPY MACHINES, BOND (PLAIN) PAPER TYPE INCLUDING PARTS AND ACCESSORIES 38;$164984.26;3/10/11;XEROX CORPORATION;ROCHESTER  ;NY
DEPT. OF HOUSING AND COMM. DEVELOPMENT;COPY MACHINE, PLAIN PAPER TYPE (INCLUDING COST-PER-COPY TYPE LEASES) RENTAL OR LEASE 26;$20981.64;3/10/11;XEROX CORPORATION;ROCHESTER  ;NY
DEPART OF YOUTH REHABILITATION SERVICES;COMPUTERS, DATA PROCESSING EQUIPMENT AND ACCESSORIES (NOT WORD PROCESSING EQUIPMENT), MAINTENANCE AND REPAIR 21;$26839.00;3/10/11;XEROX CORPORATION;ROCHESTER  ;NY
OFF PUBLIC ED FACILITIES MODERNIZATION;CONSTRUCTION MANAGEMENT SERVICES 26;$302000.00;3/10/11;BROUGHTON CONSTRUCTION;WASHINGTON  ;DC
DEPUTY MAYOR FOR ECONOMIC DEVELOPMENT;ESCROW AND TITLE SERVICES 46;$11300.00;3/10/11;CII TITLE LLC;WASHINGTON  ;DC
DEPARTMENT OF TRANSPORTATION;TRANSPORTATION CONSULTING 96;$12991.00;3/10/11;JASEN RIDES LLC DBA/BIKE &ROLL;WASHINGTON  ;DC
DEPT. OF HOUSING AND COMM. DEVELOPMENT;LOAN ADMINISTRATION 60;$386437.00;3/11/11;CAPITAL DEVELOPMENT GROUP LLC;DUNKIRK  ;MD
PUBLIC SERVICE COMMISSION;AUDIO/VIDEO EQUIPMENT AND ACCESSORY RENTAL OR LEASE 12;$3980.00;3/11/11;LIOBMEDIA, LLC;WASHINGTON  ;DC
DEPARTMENT OF MENTAL HEALTH;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$6925.50;3/11/11;TONI BYRD;WASHINGTON  ;DC
DEPARTMENT OF MENTAL HEALTH;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$7168.50;3/11/11;SHAUNEKA LEVETT;WASHINGTON  ;DC
DEPARTMENT OF MENTAL HEALTH;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$6920.64;3/11/11;NICOLE COLETTE WILEY;WASHINGTON  ;DC
DEPARTMENT OF HUMAN SERVICES;PADS, FURNITURE, PROTECTIVE AND MOVING 62;$10000.00;3/11/11;AMERICAN SIGNATURE FURNITURE;COLUMBUS  ;OH
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;CALCULATORS, ELECTRONIC, PRINTING TYPE, NON-PROGRAMMABLE 21;$4163.65;3/11/11;LAKESHORE LEARNING MATERIALS;CARSON  ;CA
OFFICE OF THE ATTORNEY GENERAL;MANAGEMENT CONSULTING 75;$429824.40;3/11/11;OBVERSE CORPORATION, INC.;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;MICROCOMPUTERS, HANDHELD, LAPTOP, AND NOTEBOOK 54;$6374.19;3/11/11;DELL COMPUTER CORP.;ROUND ROCK  ;TX
DEPARTMENT OF MENTAL HEALTH;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$6920.64;3/11/11;CRYSTAL ELIZABETH WHITE;WASHINGTON  ;DC
DEPARTMENT OF MENTAL HEALTH;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$7290.00;3/11/11;TIFFANY STROTHER;WASHINGTON  ;DC
OFFICE OF THE CHIEF MEDICAL EXAMINER;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$5000.00;3/11/11;PROVIDENCE HOSPITAL;WASHINGTON  ;DC
DEPARTMENT OF MENTAL HEALTH;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$6925.50;3/11/11;DEBORAH D. HUGHES;WASHINGTON  ;DC
DEPARTMENT OF MENTAL HEALTH;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$7290.00;3/11/11;CRYSTAL D. DAVIS;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;COMMUNICATION EQUIPMENT (INCLUDING RADIO, TELEVISION, TELEPHONE, VCR, VIDEO/AUDIO EQUIPMENT, ETC.) 28;$66000.00;3/11/11;KSA-PLUS COMMUNICATIONS INC;ARLINGTON  ;VA
DC PUBLIC LIBRARY;FLOORING 44;$237876.00;3/11/11;MUFTI INTERNATIONAL INC;STERLING  ;VA
DEPARTMENT OF MENTAL HEALTH;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$7290.00;3/11/11;WANDA E. DIXON;WASHINGTON  ;DC
CRIMINAL JUSTICE COORDINATING COUNCIL;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$302618.00;3/11/11;ENLIGHTENED, INC.;WASHINGTON  ;DC
OFFICE OF THE CHIEF MEDICAL EXAMINER;ELECTRONIC REFERENCE EQUIPMENT (ORGANIZERS, ETC.) 60;$3000.00;3/11/11;REMCO BUSINESS SYSTEMS INC;DAVIDSONVILLE  ;MD
DEPARTMENT OF HEALTH;HEALTH CARE SERVICES (NOT OTHERWISE CLASSIFIED) 48;$61080.00;3/11/11;CARL VOGEL FOUNDATION,INC;WASHINGTON  ;DC
OFFICE OF CHIEF TECHNOLOGY OFFICER;CONDUIT AND FITTINGS, FIBER AND ASBESTOS-CEMENT 17;$40766.20;3/11/11;PAIGE INTERNATIONAL;WASHINGTON  ;DC
OFFICE OF CHIEF TECHNOLOGY OFFICER;CONDUIT AND FITTINGS, FIBER AND ASBESTOS-CEMENT 17;$52417.40;3/11/11;PAIGE INTERNATIONAL;WASHINGTON  ;DC
DEPARTMENT OF HEALTH;HEALTH CARE SERVICES (NOT OTHERWISE CLASSIFIED) 48;$73805.00;3/11/11;LA CLINICA DEL PUEBLO, INC.;WASHINGTON  ;DC
METROPOLITAN POLICE DEPARTMENT;GENERAL CONSTRUCTION: MANAGEMENT, SCHEDULING, COST ESTIMATION - ENGINEERING 44;$132707.00;3/11/11;SUN DEVELOPMENT;WASHINGTON  ;DC
SPECIAL EDUCATION TRANSPORTATION;TOKENS 88;$30810.00;3/11/11;WASH METRO AREA TRANSIT AUTH;WASHINGTON  ;DC
DEPARTMENT OF TRANSPORTATION;LANDSCAPING (INCLUDING DESIGN, FERTILIZING, PLANTING, ETC., BUT NOT GROUNDS MAINTENANCE OR TREE TRIMMING SERVICES) 52;$88000.00;3/11/11;CASEY TREES ENDOWMENT FUND;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;BUS TRANSPORTATION SERVICES, SCHOOL 16;$4050.00;3/11/11;MAINOR'S BUS SERVICE;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;BUS TRANSPORTATION SERVICES, SCHOOL 16;$25000.00;3/11/11;MAINOR'S BUS SERVICE;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;DISPLAY CABINETS, CASES, FILES, RACKS, STANDS, ETC. 43;$3290.73;3/11/11;DEMCO INC;MADISON  ;WI
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;EDUCATION AND TRAINING CONSULTING 38;$3403.56;3/11/11;GENERAL MERCHANDISE SUPPLIES;WASHINGTON  ;DC
DEPARTMENT OF MENTAL HEALTH;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$7290.00;3/11/11;MARY ELIZABETH DOTSON;TEMPLE HILLS  ;MD
MUNICIPAL FACILITIES: NON-CAPITAL;GENERATORS, PORTABLE AND STATIONARY, INCLUDING PARTS AND ACCESSORIES MAINTENANCE AND REPAIR 39;$30436.72;3/11/11;KNIGHT FACILITIES MGMT, INC.;SAGINAW  ;MI
OFFICE OF THE ATTORNEY GENERAL;LEGAL SERVICES INCLUDING DEPOSITIONS AND EXPERT WITNESS TESTIMONY 50;$3604.00;3/11/11;G. PATRICK GALLAGHER;RIEGELSVILLE  ;PA
DEPART OF YOUTH REHABILITATION SERVICES;PEST CONTROL (INCL. TERMITE INSPECTION AND CONTROL, BIRD PROOFING, ANIMAL TRAPPING, RODENT CONTROL, EXTERMINATING AND FUMIGATION) 59;$21626.78;3/11/11;WESTERN INDUSTRIES - SOUTH, IN;GAITHERSBURG  ;MD
OFF PUBLIC ED FACILITIES MODERNIZATION;CONSTRUCTION MANAGEMENT SERVICES 26;$250000.00;3/11/11;EHRENKRANTZ ECKSTUT & KUHN ARC;NEW YORK  ;NY
DEPARTMENT OF MENTAL HEALTH;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$7290.00;3/11/11;SHENELL LO'REAL MOORER;CAPITOL HEIGHTS  ;MD
OFFICE OF ZONING;SOFTWARE MAINTENANCE/SUPPORT 45;$3380.00;3/11/11;OCE NORTH AMERICA, INC;CHICAGO  ;IL
DEPARTMENT OF MENTAL HEALTH;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$7533.00;3/11/11;CATRINA L. SMITH;WASHINGTON  ;DC
DEPARTMENT OF TRANSPORTATION;EDUCATION AND TRAINING CONSULTING 38;$9300.00;3/11/11;BELL & LINDSAY;BEACHWOOD  ;OH
DEPARTMENT OF PUBLIC WORKS;PAPER AND FILM SHREDDERS 71;$7000.00;03/14/2011;FIRST SECURE SHRED, INC.;FREDERICK  ;MD
PUBLIC EMPLOYEE RELATIONS BOARD;LEGAL SERVICES, ATTORNEYS 49;$4800.00;03/14/2011;ARLINE PACHT;NORTH BETHESDA  ;MD
OFFICE OF UNIFIED COMMUNICATIONS;SOFTWARE MAINTENANCE/SUPPORT 45;$93051.00;03/14/2011;VOICE PRINT INTERNATIONAL, INC;CAMARILLO  ;CA
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;TEACHING AND INSTRUCTION SERVICES  (INCLUDING ELEMENTARY AND SECONDARY EDUCATION, HIGHER EDUCATION AND ADULT EDUCATION) 78;$3500.00;03/14/2011;TAMAH., LLC;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;FOOD PREPARATION SERVICES (INCLUDING FOOD CANNING SERVICES) 38;$3383543.65;03/14/2011;COMPASS GROUP USA, INC;CHARLOTTE  ;NC
CHILD AND FAMILY SERVICES;YOUTH CARE SERVICES 95;$61400.00;03/14/2011;CATHOLIC CHARITIES;SILVER SPRING  ;MD
OFFICE OF CHIEF TECHNOLOGY OFFICER;COMPUTER SOFTWARE CONSULTING 29;$99957.24;03/14/2011;OST, INC.;WASHINGTON  ;DC
EQUIPMENT LEASE - CAPITAL;COMPUTER SOFTWARE CONSULTING 29;$300013.48;03/14/2011;OST, INC.;WASHINGTON  ;DC
